conflict_no,incident_no,start_date,end_date,province,district,llg,ward,village_community,x_lon,y_lat,source,conflict_name,people_groups_involved,status,root_cause,proximate_cause,trigger,incident_description,response_from_authorities,retaliation_related_incident,total_dead,total_injured,total_displaced,men_dead,men_injured,men_displaced,women_dead,women_injured,women_displaced,total_child_dead,total_child_injured,boy_dead,boy_injured,boy_displaced,girl_dead,girl_injured,girl_displaced,id,adm1_pcode,adm2_pcode,adm3_pcode,total_casualties,ignore,actor_simple
1,1.1,2022-06-06,NA,Hela Province,Komo Magarima District,Lower Wage LLG,NA,Ombal Ward,143.3733,-6.09452,International Organizations,Ombal fight,Ombal,Active,NA,NA,NA,Alcohol abuse related,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,PG21,PG2104,PG210413,3,actor1,Ombal
2,2.1,2022-04-14,2022-06-01,Hela Province,Komo Magarima District,Hulia Rural LLG,NA,Lomia council ward (CW),143.0074,-5.92718,International Organizations,Lomia fight,Lomia,Unknown,NA,NA,NA,"Theft of pigs, money and or valuables",PNGDF and Police with the help of community leaders arranged a ceasefire agreement,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,PG21,PG2104,PG210411,0,actor1,Lomia
2,2.1,2022-06-20,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,NA,Lomia council ward (CW),143.0074,-5.92718,International Organizations,Lomia fight,Lomia,Unknown,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,PG21,PG2104,PG210411,0,actor1,Lomia
3,NA,NA,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG,NA,NA,142.8341,-5.93442,International Organizations,Hapono fight,Hapono,Unknown,NA,NA,NA,To be determined,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,PG21,PG2108,PG210827,0,actor1,Hapono
4,NA,2021-05-25,NA,Hela Province,Komo Magarima District,Komo Rural LLG,NA,NA,142.7629,-5.91657,International Organizations,Kulu Pupa fight,Kulu Pupa,Unknown,NA,NA,NA,To be determined,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,PG21,PG2104,PG210412,0,actor1,Kulu Pupa
5,NA,NA,NA,Hela Province,Komo Magarima District,Komo Rural LLG,NA,NA,142.7772,-5.93253,International Organizations,Juni Nogoli fight,Juni Nogoli,Active,NA,NA,NA,To be determined,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,PG21,PG2104,PG210412,0,actor1,Juni Nogoli
6,NA,2022-01-14,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,Kakarene 1 Ward - Honaka village,142.777,-5.74631,International Organizations,Honaka 2 fight,Pii Lepa- Pii Tapaya,Active,NA,NA,NA,Land ownership and boundary dispute,"Update as of  22 January 2022, PNGDF intervened to prevent further escalation of the fight, arrested and detained 10 tribesmen from both clans.",NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,PG21,PG2105,PG210517,3,actor1,Pii Lepa
6,NA,2022-01-14,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,Kakarene 1 Ward - Honaka village,142.777,-5.74631,International Organizations,Honaka 2 fight,Pii Lepa- Pii Tapaya,Active,NA,NA,NA,Land ownership and boundary dispute,"Update as of  22 January 2022, PNGDF intervened to prevent further escalation of the fight, arrested and detained 10 tribesmen from both clans.",NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,PG21,PG2105,PG210517,3,actor2,Pii Tapaya
6,NA,2022-02-02,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,Kakarene 1 Ward - Honaka village,142.777,-5.74631,International Organizations,Honaka 2 fight,Pesi Market,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,PG21,PG2105,PG210517,0,actor1,Pesi Market
6,NA,2022-02-15,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,Kakarene 1 Ward - Honaka village,142.777,-5.74631,International Organizations,Honaka 2 fight,Honaka tribe and Talita tribe,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,PG21,PG2105,PG210517,0,actor1,Honaka
