year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_VI,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,VNM,Viet Nam,VN,An Giang,An Giang,VN805,928139,910447,1838587,47372,58020,78488,78147,49910,36980,54624,69221,74493,70586,71588,67715,54170,43010,33395,18435,21987,50480,61743,83713,82528,54053,40394,57273,72538,77708,71786,70367,64253,43964,27222,22504,14633,15288,97852,119763,162201,160674,103963,77374,111897,141759,152201,142372,141955,131968,98135,70233,55898,33068,37276
2024,VNM,Viet Nam,VN,Ba Ria - Vung Tau,Bà Rịa - Vũng Tàu,VN717,589562,596946,1186511,37541,42493,47134,41609,33593,30465,47798,54092,49497,42487,39981,34761,30454,23092,14160,8486,11919,41417,46340,51404,45242,36356,33592,47875,54441,50160,42815,41042,33917,28338,20457,11476,5673,6401,78958,88833,98538,86851,69950,64058,95674,108533,99657,85302,81023,68678,58792,43549,25636,14159,18320
2024,VNM,Viet Nam,VN,Bac Giang,Bắc Giang,VN221,939499,951364,1890863,68833,80061,77035,58985,53173,56600,79621,75475,68297,61286,54929,51358,52596,38594,23994,14593,24069,77423,93953,88619,65055,56422,58157,83131,79485,69610,60691,52913,48008,45661,31858,17906,10008,12464,146256,174014,165654,124040,109595,114757,162752,154960,137907,121977,107842,99366,98257,70452,41900,24601,36533
2024,VNM,Viet Nam,VN,Bac Kan,Bắc Kạn,VN207,153602,162614,316216,9082,13238,14203,10995,7203,6417,11322,12694,11395,11329,10341,10428,9249,5762,3652,2539,3753,10210,13975,14683,11416,9420,9604,14107,15384,12847,11916,10332,9734,8048,4928,2548,1571,1891,19292,27213,28886,22411,16623,16021,25429,28078,24242,23245,20673,20162,17297,10690,6200,4110,5644
2024,VNM,Viet Nam,VN,Bac Lieu,Bạc Liêu,VN821,464304,466079,930383,26676,24837,34724,33413,32748,29311,38752,40453,40049,33587,27942,26311,23818,20360,14630,7338,9355,28422,26703,36765,35322,34746,31219,41543,44639,41895,34063,26401,23465,21327,16340,12344,5428,5457,55098,51540,71489,68735,67494,60530,80295,85092,81944,67650,54343,49776,45145,36700,26974,12766,14812
2024,VNM,Viet Nam,VN,Bac Ninh,Bắc Ninh,VN106,782952,772869,1555821,77370,60197,54616,42780,54180,79454,83706,61909,51246,39464,37126,30887,36475,27395,16483,11646,18018,88399,70133,65992,48118,48266,66641,82291,63007,52368,38600,36024,28691,31913,22955,12262,8078,9131,165769,130330,120608,90898,102446,146095,165997,124916,103614,78064,73150,59578,68388,50350,28745,19724,27149
2024,VNM,Viet Nam,VN,Ben Tre,Bến Tre,VN811,653054,632958,1286013,32850,37126,43276,42275,34543,24781,39224,48908,52460,49157,50405,53728,43048,36893,25390,15103,23887,34869,39373,46032,44350,36811,27743,40026,49663,52890,51947,52250,53065,38448,28065,17866,9026,10534,67719,76499,89309,86625,71355,52525,79250,98571,105350,101104,102655,106792,81496,64958,43256,24129,34420
2024,VNM,Viet Nam,VN,Binh Dinh,Bình Định,VN507,747165,732368,1479533,46561,51734,57341,56376,42772,33664,51274,48282,52784,55276,59406,52057,38068,31682,24207,16189,29492,50706,55780,61562,60120,47560,40379,54626,48915,52203,55182,57976,49307,31569,23897,17674,10104,14808,97267,107514,118903,116496,90332,74043,105900,97197,104987,110458,117382,101364,69637,55579,41881,26293,44300
2024,VNM,Viet Nam,VN,Binh Duong,Bình Dương,VN711,1490233,1526978,3017213,115813,94080,86748,78750,112225,160607,192786,175799,139168,96508,72148,53955,42267,31012,17663,8735,11969,127544,102914,95661,84436,112888,152846,196658,188126,148451,103573,76210,53196,37099,23734,12352,5338,5952,243357,196994,182409,163186,225114,313452,389444,363925,287619,200081,148358,107151,79366,54747,30016,14073,17921
2024,VNM,Viet Nam,VN,Binh Phuoc,Bình Phước,VN707,508671,519403,1028079,38075,41647,44334,42014,34114,29223,40220,43219,40593,34304,30248,26362,23097,16994,10447,6067,7713,41897,44426,47786,44560,36851,33398,42588,43645,39924,35083,31447,25638,21020,14318,8590,4076,4156,79972,86073,92120,86574,70966,62622,82809,86865,80518,69388,61695,52000,44117,31311,19037,10143,11869
