Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455,..
Cambodia,KHM,"Population, total",SP.POP.TOTL,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842,..
China,CHN,"Population, total",SP.POP.TOTL,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,..
Fiji,FJI,"Population, total",SP.POP.TOTL,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766,..
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,..
India,IND,"Population, total",SP.POP.TOTL,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,..
Indonesia,IDN,"Population, total",SP.POP.TOTL,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339,..
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570,..
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416,..
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117,..
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475,..
Maldives,MDV,"Population, total",SP.POP.TOTL,400728,416738,435582,454252,472442,489758,504508,514438,521457,523787,..
Malaysia,MYS,"Population, total",SP.POP.TOTL,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221,..
Mongolia,MNG,"Population, total",SP.POP.TOTL,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366,..
Myanmar,MMR,"Population, total",SP.POP.TOTL,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306,..
Nepal,NPL,"Population, total",SP.POP.TOTL,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580,..
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619,..
Pakistan,PAK,"Population, total",SP.POP.TOTL,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862,..
Philippines,PHL,"Population, total",SP.POP.TOTL,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009,..
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,582365,597375,612660,628102,643634,659249,674993,691191,707851,724273,..
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21131756,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000,..
Thailand,THA,"Population, total",SP.POP.TOTL,69578602,69960943,70294397,70607037,70898202,71127802,71307763,71475664,71601103,71697030,..
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1161555,1184830,1205813,1224562,1243235,1261845,1280438,1299995,1320942,1341296,..
Vanuatu,VUT,"Population, total",SP.POP.TOTL,263534,269927,276438,283218,290239,297298,304404,311685,319137,326740,..
Viet Nam,VNM,"Population, total",SP.POP.TOTL,90267739,91235504,92191398,93126529,94033048,94914330,95776716,96648685,97468029,98186856,..
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 05/30/2024,,,,,,,,,,,,,,
